index,review_title,reviewed_at,reviewed_by,images,crawled_at,url,hotel_name,hotel_url,avg_rating,nationality,rating,review_text,raw_review_text,tags,meta,word_count
14603,Very nice place for short stay,2021-07-06,Igor,,"07/20/2021, 01:42:21",https://www.booking.com/reviews/be/hotel/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Motel One Brussels,https://www.booking.com/hotel/be/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,8.9,Poland,8.0,"It is a budget hotel, so you should not expect a lot, however breakfast could be more varied. No safe in room, if you need to lock something., Very good location, everything you need for short stay + free drink voucher.","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">It is a budget hotel, so you should not expect a lot, however breakfast could be more varied. No safe in room, if you need to lock something.</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Very good location, everything you need for short stay + free drink voucher.</span></p>",Business trip~Solo traveller~Standard Double Room~Stayed 2 nights,"{'language': 'en-gb', 'source': 'https://www.booking.com'}",41
14615,Very good,2021-06-20,Michael,,"07/20/2021, 01:42:23",https://www.booking.com/reviews/be/hotel/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Motel One Brussels,https://www.booking.com/hotel/be/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,8.9,Malta,8.0,"Breakfast , Location","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">Breakfast </span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Location </span></p>",Leisure trip~Solo traveller~Queen Room~Stayed 3 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}",3
14630,Superb,2021-06-20,Thomas,,"07/20/2021, 01:42:25",https://www.booking.com/reviews/be/hotel/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Motel One Brussels,https://www.booking.com/hotel/be/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,8.9,Italy,9.0,"Breakfast rather limited for the price, mattress not that comfortable, very helpful and friendly staff, quiet room","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">Breakfast rather limited for the price, mattress not that comfortable</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">very helpful and friendly staff, quiet room</span></p>",Business trip~Solo traveller~Queen Room~Stayed 2 nights,"{'language': 'en-gb', 'source': 'https://www.booking.com'}",17
14647,"Great location, nice staff, great value",2021-05-24,Foteini,,"07/20/2021, 01:42:27",https://www.booking.com/reviews/be/hotel/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Motel One Brussels,https://www.booking.com/hotel/be/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,8.9,Greece,8.0,•comfort bed •great location It would be even better if we could have drinks in the lobby but due to covid restrictions no drinks after 10pm (not hotel's fault).,"<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">•comfort bed
•great location
It would be even better if we could have drinks in the lobby but due to covid restrictions no drinks after 10pm (not hotel's fault).</span></p>",Leisure trip~Couple~Standard Double Room~Stayed 2 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}",29
14665,basic but staff tried hard,2021-04-09,Iain,,"07/20/2021, 01:42:30",https://www.booking.com/reviews/be/hotel/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Motel One Brussels,https://www.booking.com/hotel/be/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,8.9,United Kingdom,8.0,"no kettle in room - a must during Civid restrictions zero packaged drinks or food available on a temp basis otherwise mist clients will book an apartotel, helpful staff","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">no kettle in room - a must during Civid restrictionszero packaged drinks or food available  on a temp basisotherwise mist clients will book an apartotel</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">helpful staff</span></p>",Business trip~Solo traveller~Queen Room~Stayed 2 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}",29
14683,Exceptional,2021-02-27,Abdelouahed,,"07/20/2021, 01:42:31",https://www.booking.com/reviews/be/hotel/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Motel One Brussels,https://www.booking.com/hotel/be/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,8.9,Netherlands,10.0,"Mmm the bed was ok but not woww , Location, employees and service","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">Mmm the bed was ok but not woww </span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Location, employees and service </span></p>",Business trip~Solo traveller~Standard Double Room~Stayed 1 night~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}",13
14700,Exceptional,2021-01-25,Miltiadis,,"07/20/2021, 01:42:34",https://www.booking.com/reviews/be/hotel/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Motel One Brussels,https://www.booking.com/hotel/be/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,8.9,Greece,10.0,"Nothing. Everything was perfect! Thank you very much!, Everything. The place is clean, comfortable, luxurious, absolutely affordable, and the staff is helpful and surprisingly friendly. Congrats to Maria and Ilias for their efficiency, friendliness and warmth!","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">Nothing. Everything was perfect! Thank you very much!</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Everything. The place is clean, comfortable, luxurious, absolutely affordable, and the staff is helpful and surprisingly friendly.  Congrats to Maria and Ilias for their efficiency, friendliness and warmth!</span></p>",Business trip~Solo traveller~Queen Room~Stayed 1 night,"{'language': 'en-gb', 'source': 'https://www.booking.com'}",36
14716,Exceptional,2020-12-17,Micael,,"07/20/2021, 01:42:37",https://www.booking.com/reviews/be/hotel/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Motel One Brussels,https://www.booking.com/hotel/be/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,8.9,Luxembourg,10.0,Excellent property and staff who managed to make us feel comfortable despite the current restrictions due to Covid-19,"<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Excellent property and staff who managed to make us feel comfortable despite the current restrictions due to Covid-19</span></p>",Business trip~Couple~Queen Room~Stayed 1 night~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}",18
14732,Very good,2020-10-12,Antonis,,"07/20/2021, 01:42:39",https://www.booking.com/reviews/be/hotel/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Motel One Brussels,https://www.booking.com/hotel/be/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,8.9,Luxembourg,8.0,"Not many options at breakfast, Very friendly staff, clean hotel, central location.","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">Not many options at breakfast</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Very friendly staff, clean hotel, central location. </span></p>",Leisure trip~Family with young children~Standard Double Room~Stayed 2 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}",12
14749,Very good,2020-10-02,Gonzalo,,"07/20/2021, 01:42:41",https://www.booking.com/reviews/be/hotel/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Motel One Brussels,https://www.booking.com/hotel/be/motel-one-brussels.en-gb.html?label=gen173nr-1DCA0oFUISbW90ZWwtb25lLWJydXNzZWxzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKaudeHBsACAdICJGJhMDdlODVkLWU0ZWUtNDc5My05M2JiLTEzZjBiNGFkZmMzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,8.9,Germany,8.0,Best value for money around. Staff was really nice to me.,"<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Best value for money around. Staff was really nice to me.</span></p>",Business trip~Solo traveller~Queen Room~Stayed 2 nights,"{'language': 'en-gb', 'source': 'https://www.booking.com'}",11
